1.25-60-000,1.25-60-060,1.25-60-120,1.25-75-000,1.25-75-060,1.25-75-120,1.25-86-000,1.25-86-060,1.25-86-120,2.50-45-000,2.50-45-060,2.50-45-120,2.50-60-000,2.50-60-060,2.50-60-120,2.50-75-000,2.50-75-060,2.50-75-120,2.50-86-000,2.50-86-060,2.50-86-120
41131,40879,40962,38774,39208,38878,30111,20038,6529,53336,47239,34328,52686,35614,13305,48824,24908,3615,41091,20000,2551
40739,40491,40081,38791,38403,37879,29889,21327,7354,52019,48918,35881,52029,39539,15369,48195,28407,4498,40822,22263,3197
39505,39640,39549,37656,37802,37610,29315,22824,7998,49848,49929,38117,50370,42552,17212,46638,32016,5721,40086,24914,3991
38214,38461,38053,36890,36636,36654,28871,24106,8959,47343,50518,39762,47315,45105,19764,44205,35627,6887,38368,27625,4751
36574,36821,36441,35125,35297,34855,28215,25149,9947,43960,49632,40684,43611,47370,21914,41189,38241,8511,36564,30274,5483
34442,34465,34432,33560,33673,33747,27385,26501,10856,39691,47918,40658,40129,48554,24493,37966,41116,10381,34656,32495,6766
32153,32812,32488,31252,31637,31699,26188,27451,12176,35323,45382,40269,35515,49118,26856,34704,43549,12405,32390,34810,8121
29616,29836,30075,29218,29100,29243,25070,28449,13314,30943,42329,39584,30964,48216,29087,31001,44917,14822,29889,36580,9572
27336,27208,27262,26992,26848,27097,23923,29060,14523,27021,38567,37949,26523,47369,30956,26978,45936,17256,27622,38543,11147
24799,24993,24810,24793,24965,24967,22615,29664,15803,22702,34760,36934,22860,45116,32882,23917,46077,19855,24655,39483,12926
22502,22476,22489,22295,22533,22542,21467,29942,17081,19073,30768,34416,19075,42513,34646,20261,45849,22464,22211,40519,15156
19832,20048,20128,20250,20349,20312,19778,30375,18802,15789,26536,31308,15661,38884,35707,17258,44606,25487,19625,41246,17451
17290,17524,17433,17838,17952,18143,18383,29909,19879,12792,22364,28270,12619,35466,36184,14481,42767,28112,17385,40855,19778
15380,15160,15395,15778,15863,16036,17006,29795,21313,10402,18901,25321,10372,31535,36230,12076,40675,30764,15122,40382,22047
13261,13206,13366,13697,14159,14041,15795,29343,22351,8126,15485,22069,8071,27854,35492,9867,37915,32809,12953,39771,24812
11183,11524,11441,12053,12119,12360,14152,28988,23876,6526,12591,19135,6231,24484,34565,8067,34612,35011,11302,38521,27258
9558,9498,9745,10336,10462,10698,13060,28071,25138,5094,10196,16093,4989,21040,33478,6454,31869,36673,9624,36648,30030
8106,8128,8179,8753,8878,9318,11985,27084,26225,4076,7867,13267,3875,17571,31564,5186,28649,37907,8058,34426,32341
6868,6825,6898,7601,7821,7786,10806,26217,27261,3183,6198,10953,3008,14796,29369,4199,25506,38018,6662,32448,34814
5794,5683,5721,6433,6609,6582,9628,25101,28292,2523,4762,9000,2425,12549,27295,3490,22559,38429,5727,30004,36532
4755,4830,4718,5457,5484,5583,8621,23504,28932,1968,3466,6974,1894,10560,25212,2763,19667,38535,4668,27345,38314
3806,4016,3949,4478,4592,4691,8087,22436,29309,1547,2832,5664,1558,8754,22854,2315,17220,37919,3794,24772,39872
3191,3173,3246,3793,3802,4038,7293,21194,29615,1240,2100,4396,1208,7068,20877,1828,15111,36796,2994,22336,40843
2576,2722,2723,3143,3262,3277,6447,19577,29975,1006,1524,3473,1025,5983,18662,1423,12920,35297,2573,19684,41063
2125,2147,2131,2619,2795,2655,5679,18310,30232,801,1091,2466,869,5092,16819,1212,11203,33840,2107,17369,41214
1797,1713,1831,2278,2235,2290,5088,16990,29565,658,903,1910,704,4177,15044,1008,9709,31981,1755,15213,40682
1525,1440,1485,1944,1858,1909,4771,15390,29317,579,647,1449,647,3577,13442,927,8163,30159,1379,13077,40067
1163,1170,1220,1494,1645,1646,4293,14068,28667,464,499,1075,618,3078,12041,751,6945,28434,1091,11210,38325
1037,979,1030,1303,1304,1274,3911,12953,28062,372,395,882,485,2809,11134,639,6119,26394,945,9577,37011
777,823,807,1136,1152,1193,3604,11882,27305,338,362,687,485,2379,9929,543,5229,24557,797,8102,34602
748,704,684,907,978,984,3317,10830,26314,300,279,521,472,2219,9153,469,4638,23142,656,6715,32880
623,578,595,825,851,857,3081,9603,24963,299,243,419,408,2061,8519,433,4059,21440,524,5655,29700
559,557,521,763,735,787,2994,8846,23738,279,250,378,372,1913,8016,412,3418,19681,444,4698,27586
467,501,481,732,694,673,2870,7821,22569,250,230,337,424,1767,7580,403,2955,18138,423,3894,24917
438,511,476,614,674,692,2699,7314,21253,218,205,310,406,1681,7319,301,2565,16679,433,3027,22101
432,430,425,659,654,642,2678,6403,19634,218,305,338,382,1604,7096,361,2166,15310,370,2596,19805
413,433,389,610,599,644,2696,5884,18291,212,300,413,374,1498,6871,338,1855,14019,359,2034,17194
457,406,435,721,659,690,2694,5315,16828,228,381,477,388,1448,6754,332,1561,12697,406,1729,15087
457,436,481,716,645,721,2880,4762,15432,209,407,541,406,1371,6604,376,1348,11820,416,1429,13260
516,532,502,720,753,787,2917,4362,14539,264,425,664,416,1307,6572,386,1235,10698,515,1159,11292
584,596,600,840,857,863,3161,3950,12963,262,524,769,446,1302,6530,427,1048,9374,555,897,9622
722,687,708,953,1041,1042,3376,3631,11798,315,624,1002,468,1377,6317,455,918,8611,671,795,7796
842,801,833,1146,1131,1183,3593,3361,10835,337,734,1264,473,1246,6334,534,753,7530,738,661,6690
958,1006,952,1331,1377,1339,3791,3230,9849,389,863,1503,539,1281,6457,650,656,6708,954,572,5570
1165,1199,1164,1591,1607,1584,4343,2995,8708,484,991,1808,586,1234,6310,746,622,5955,1103,490,4443
1442,1489,1472,1809,1956,1995,4763,2863,8056,539,1133,2159,643,1232,6146,837,539,5175,1360,441,3798
1709,1812,1806,2147,2272,2232,5212,2823,7342,664,1327,2703,760,1225,6184,1004,497,4328,1625,373,3155
2079,2152,2099,2596,2660,2690,5755,2669,6548,788,1541,3271,855,1229,5968,1275,416,3788,2107,390,2566
2710,2670,2665,3137,3191,3295,6551,2747,5935,987,1808,3639,994,1268,6099,1501,398,3230,2670,395,2146
3217,3230,3220,3883,3907,3943,7144,2721,5449,1295,2055,4290,1246,1232,5831,1824,390,2782,3025,386,1682
3884,3870,3985,4610,4648,4642,8160,2891,4764,1525,2329,5118,1563,1251,5597,2288,404,2293,3758,444,1327
4649,4783,4638,5510,5444,5614,8931,3051,4376,1914,2723,5707,1912,1301,5538,2757,414,2021,4657,489,1156
5863,5731,5870,6289,6387,6395,9633,3258,3930,2462,3107,6537,2474,1367,5363,3394,430,1592,5539,555,928
6647,6765,6848,7678,7579,7675,10863,3399,3595,3193,3613,7277,3049,1507,5081,4269,482,1289,6917,632,739
8149,7828,8231,8938,8965,8898,11828,3721,3446,4015,4033,8175,3980,1597,5087,5355,571,1155,7900,769,635
9772,9582,9625,10425,10297,10373,12997,3961,3214,5149,4682,9040,4947,1901,4872,6527,633,874,9389,911,523
11242,11070,11445,11976,12018,12073,14237,4193,2945,6462,5593,10028,6406,2091,4769,8039,748,810,11150,1160,470
13099,13181,13192,13704,13704,13904,15658,4680,2802,8160,6349,10738,8025,2559,4649,9796,1013,689,13226,1409,441
15212,15091,15289,15709,15734,15497,16967,5183,2760,10166,7516,11739,10150,2935,4587,11978,1254,559,15291,1652,406
17340,17238,17178,17574,17587,17970,18380,5712,2764,12860,9039,13015,12638,3499,4406,14460,1597,554,17332,2046,421
19822,19644,19726,20221,19690,19871,19965,6413,2728,15743,10422,13803,15601,4204,4506,17202,2145,481,19835,2602,382
22160,22197,22103,22390,22046,21883,21329,7247,2871,18867,12331,14947,18942,5271,4538,20051,2632,473,22240,3123,400
24761,24778,24816,24634,24491,24545,22391,8005,2825,22588,14652,15874,22634,6511,4766,23486,3357,517,24894,3887,426
27629,27268,27633,26888,26591,26621,24051,8874,3031,26784,17036,17433,26847,7848,4980,27286,4246,475,27242,4684,544
29983,29761,29861,29221,29091,28713,25194,9856,3161,31143,20096,18479,30995,9674,5206,30748,5477,617,29943,5689,582
32436,32249,32163,31212,31052,31020,26297,10829,3402,35211,23102,20174,35395,11833,5770,34646,6911,698,32543,6758,637
34259,34884,34307,33353,33002,33191,27329,12064,3688,39775,26432,21967,39715,14535,6215,37884,8529,870,34661,8040,736
